Ville,prixMoyenProduits,fraisMoyen
arari,354.4,59.995000000000005
urandi,353.97,29.935000000000002
caraubas,353.09666666666664,62.49
sao jorge do ivai,352.52,43.44
santana do mundau,350.93333333333334,71.73666666666666
paripueira,349.9,29.3
boa vista das missoes,349.9,17.66
marechal deodoro,349.9,29.3
bequimao,349.9,36.25
matoes do norte,349.45,36.69
guaiuba,347.5,33.525
governador eugenio barros,346.32,71.13
ouvidor,345.0,56.07000000000001
santana do acarau,344.22249999999997,46.6725
alto do rodrigues,342.1825,76.155
ourilandia do norte,342.01599999999996,44.854
campo formoso,341.91299999999995,63.520999999999994
pacuja,339.95000000000005,198.45000000000002
nova lacerda,339.74,41.01
andradas,339.1925,43.805
oriente,339.09,19.25
abrantes,339.0,41.68
tracunhaem,338.995,27.855
serranopolis,334.29333333333335,69.13
pedreiras,334.23,46.35666666666666
itau,333.4,47.285
esplanada,332.18,29.488
sao bento do una,332.0975,37.3525
buritizeiro,331.9988888888889,36.39111111111111
constantina,330.0,18.77
hulha negra,329.0,43.06
uniao,329.0,64.32
guadalupe,328.425,47.265
nova ipixuna,328.0,189.03
caarapo,327.6225,34.35999999999999
nova xavantina,327.469,32.747
belem do sao francisco,327.25,58.26
carmopolis de minas,325.956,25.387999999999998
baldim,325.495,24.025
pedrao,325.0,18.71
montanhas,325.0,36.07
jucas,325.0,38.96
vieiras,325.0,20.15
botupora,325.0,21.51
sobral,324.824,55.054
lagoa dos gatos,323.33,34.49333333333333
cordeiros,322.75,40.89
alcobaca,322.445,48.03
porto seguro,322.25225,36.85825
comodoro,320.71714285714285,37.037142857142854
jequitiba,318.45,33.480000000000004
miranorte,317.95,48.76
ariquemes,317.30538461538464,64.97461538461538
cristalandia,316.23,39.74666666666666
tunapolis,315.39,28.29
mucuri,314.81,26.045714285714286
bom jesus da lapa,314.40333333333336,36.00666666666667
campo novo do parecis,310.674375,59.061875
balsas,310.2605882352941,78.42999999999999
perola d'oeste,309.95,26.424999999999997
concordia do para,309.9266666666667,63.70666666666667
sao pedro da agua branca,309.9,26.66
itororo,309.6,45.085
itaju,309.26666666666665,26.856666666666666
guarani,309.20285714285717,67.12714285714286
rondon do para,308.90333333333336,78.2511111111111
parelhas,308.47249999999997,65.72749999999999
sao pedro,306.96166666666664,18.315833333333334
sao raimundo nonato,306.48428571428565,120.2357142857143
ivai,305.38500000000005,17.5
pau dos ferros,305.06111111111113,47.91777777777778
cassilandia,304.9,30.618000000000002
anitapolis,304.495,16.695
taquaritinga do norte,304.2714285714286,47.42857142857143
codo,302.4775,93.02000000000001
jupi,302.45,30.979999999999997
conceicao da feira,301.995,99.48
cicero dantas,301.005,114.633
viseu,301.0,39.02
arapiraca,300.98999999999995,49.011034482758625
itaja,300.6666666666667,33.300000000000004
coaraci,300.46999999999997,66.56
santo antonio da patrulha,300.00470588235294,29.590588235294117
centro novo do maranhao,299.99,52.82
pocao,299.99,18.54
grao mogol,299.93333333333334,33.16666666666667
almino afonso,299.9,170.11
tucurui,299.80588235294124,49.120588235294115
porto rico,299.0,19.92
areiopolis,298.83,15.916666666666666
riacho de santana,298.675,26.9425
senador cortes,298.0,102.66
nova mamore,297.45,104.13
quatro bocas,297.398,63.56
gilbues,296.0,60.51
jacobina,294.98583333333335,28.60166666666667
bacabal,294.88272727272727,58.16272727272727
sao luis do paraitinga,294.16333333333336,21.166666666666668
garuva,293.476,36.056
pires do rio,291.73583333333335,35.766666666666666
santa juliana,291.37666666666667,20.12777777777778
alta floresta,291.29583333333335,37.96083333333333
colinas,290.465,37.4075
buenopolis,290.076,49.542
aguas frias,290.0,28.98
agua doce,289.98,46.07
diamante d'oeste,289.9,17.79
formoso,289.33,20.346666666666668
guarai,289.15,75.6925
pirambu,289.0,16.77
sao jose do campestre,289.0,18.46
taboquinhas,289.0,14.27
tanque d'arca,289.0,16.77
cajari,289.0,27.3
jaguaruana,288.7875,46.0375
estancia,288.2944444444445,62.58888888888888
tucuma,287.5625,53.184999999999995
paulistana,287.5566666666667,50.196666666666665
goianesia do para,287.33,34.24
esperanca,286.72999999999996,64.61833333333334
itauba,284.196,48.198
barra de santo antonio,283.5,31.06
leopoldo de bulhoes,283.02,17.74
guaraci,282.92499999999995,20.4575
jijoca de jericoacoara,282.725,32.83
castilho,282.221,22.139
delmiro gouveia,281.45,56.9775
inaciolandia,280.9966666666666,36.64333333333334
ouricuri,280.8575,60.48375
santo expedito,280.0,13.46
novo alegre,279.99,39.1
mandaguari,279.9527777777778,43.88388888888889
santana do cariri,279.93333333333334,35.626666666666665
americo de campos,279.9,13.46
coracao de maria,279.9,26.16
paranhos,279.0,30.99
candeias do jamari,279.0,59.74
irai,278.945,20.185000000000002
ouro,278.79,31.46
sao sebastiao do rio verde,278.0,54.58
ibiara,278.0,43.98
capela do alto,277.99666666666667,56.75333333333334
arrozal,277.9633333333333,26.30666666666667
rifaina,276.4,22.485
juina,276.1952941176471,42.45941176470588
dois irmaos do buriti,275.6333333333333,21.083333333333332
campos borges,275.2966666666667,17.05
piraju,275.27666666666664,22.820555555555554
colonia castrolanda,274.6766666666667,72.56
campo alegre,274.5,32.5875
nuporanga,273.93333333333334,24.536666666666665
sao jose de mipibu,273.8966666666667,44.833333333333336
pardinho,272.8,82.26
chapadao do lageado,272.70000000000005,49.199999999999996
caico,272.32000000000005,49.211
ceres,272.21,30.13
piratininga,272.1311111111111,18.375555555555554
goianapolis,271.745,34.265
teotonio vilela,271.08500000000004,53.837500000000006
magalhaes de almeida,270.9,52.62
pinhalao,270.7057142857143,19.63
colider,270.21625,97.7775
vargem grande do rio pardo,270.0,95.98
angical,269.9,23.6
