Ville,nbCommandes
arraial do cabo,29
armacao dos buzios,29
itarare,29
mirassol,29
fazenda rio grande,29
xanxere,29
alem paraiba,29
garca,28
piumhii,28
trindade,28
camboriu,28
batatais,28
capao bonito,28
dois vizinhos,28
porto ferreira,28
farroupilha,28
primavera do leste,28
itapolis,28
rio bonito,28
miguel pereira,28
mafra,28
corumba,28
dracena,28
matinhos,27
parauapebas,27
canoinhas,27
cambe,27
diamantina,27
carangola,27
caete,27
rolandia,27
brumadinho,26
venancio aires,26
santiago,26
viana,26
frutal,26
mineiros,26
rio grande da serra,26
indaial,26
sapiranga,26
joacaba,26
campos do jordao,26
santa barbara,26
presidente venceslau,26
cachoeira paulista,25
aparecida,25
caceres,25
nanuque,25
arcos,25
barra do garcas,25
biguacu,25
tramandai,25
mairinque,25
coromandel,25
altamira,25
