Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,nbVendeurs,latitudeVille,longitudeVille,Etat,nbVendeursParCommande
diadema,286,103.49732394366188,16.19760563380282,3.965156794425087,9,-23.689768416180417,-46.611740825698504,São Paulo,0.03146853146853147
serra,285,127.56957894736833,23.18750877192982,3.8916083916083917,3,-20.177553426226176,-40.24827651942886,Espírito Santo,0.010526315789473684
teresina,281,178.45510714285717,37.63185714285714,3.8333333333333335,1,-5.082661896995917,-42.79056879008659,Piauí,0.0035587188612099642
indaiatuba,280,134.29532374100708,16.18852517985611,4.245551601423488,8,-23.095823068459897,-47.214789830643205,São Paulo,0.02857142857142857
sao caetano do sul,277,118.00945454545446,15.639054545454545,4.2671480144404335,20,-23.62674764374787,-46.565057775638756,São Paulo,0.07220216606498195
bauru,273,146.1565185185184,20.37437037037037,4.141818181818182,14,-22.32668283930309,-49.066682485334695,São Paulo,0.05128205128205128
maringa,271,141.80632958801485,26.6798127340824,4.051470588235294,40,-23.418348520930945,-51.932772137145825,Paraná,0.14760147601476015
taubate,270,111.32794007490628,18.795318352059923,4.076923076923077,6,-23.025346029570912,-45.564023041746836,São Paulo,0.022222222222222223
duque de caxias,266,129.39041825095046,22.351216730038026,3.7602996254681647,3,-22.71473796323477,-43.28943011353082,Rio de Janeiro,0.011278195488721804
joinville,264,132.21509505703412,23.572243346007596,3.9849056603773585,22,-26.296137780383102,-48.84274831142131,Santa Catarina,0.08333333333333333
joao pessoa,256,209.31027559055113,39.000393700787406,4.031128404669261,2,-7.132031986511363,-34.851423004685145,Paraïba,0.0078125
cotia,250,125.33217741935474,16.874193548387098,4.16,10,-23.610952128091483,-46.90435454556702,São Paulo,0.04
cuiaba,248,157.94826612903213,31.989959677419357,3.899193548387097,2,-15.598820042909665,-56.0722243772959,Mato Grosso,0.008064516129032258
maceio,247,181.71739837398366,34.04715447154472,3.6048387096774195,"",-9.629092475768132,-35.73120478518649,Alagoas,""
sao carlos,241,127.07701680672258,19.484495798319333,4.223140495867769,13,-22.011686696334287,-47.89310457207042,São Paulo,0.05394190871369295
sao carlos,241,127.07701680672258,19.484495798319333,4.223140495867769,13,-27.080681670565326,-53.00616293046744,Santa Catarina,0.05394190871369295
petropolis,240,139.62226890756293,26.675756302521005,3.9,6,-22.476819286296735,-43.17086761038725,Rio de Janeiro,0.025
macae,239,132.22700421940922,26.45337552742616,3.5726141078838176,3,-22.380942145066868,-41.7888662438425,Rio de Janeiro,0.012552301255230125
campos dos goytacazes,238,145.63176470588223,23.230210084033608,3.9453781512605044,1,-21.76135912690402,-41.320679531016374,Rio de Janeiro,0.004201680672268907
suzano,234,108.73334763948489,16.025193133047214,4.177966101694915,3,-23.54952953684076,-46.3095991689705,São Paulo,0.01282051282051282
volta redonda,232,146.2894736842104,23.210307017543858,3.8540772532188843,1,-22.50866919780627,-44.09717153758829,Rio de Janeiro,0.004310344827586207
volta redonda,232,146.2894736842104,23.210307017543858,3.8540772532188843,1,-22.50866919780627,-44.09717153758829,Rio de Janeiro,0.004310344827586207
