nbPaiements,montant,nbPaiementPrediction,id
5.0,54.0,2.9480220734813414,94
1.0,86.33,3.118016485586585,95
10.0,2091.33,13.660509410764845,96
1.0,142.2,3.4117866001649935,97
5.0,118.87,3.289115098945837,98
6.0,91.5,3.1452008688400372,99
1.0,189.3,3.6594431671355157,100
7.0,348.89,4.498583539170029,101
3.0,87.99,3.126744933594463,102
1.0,77.57,3.0719555189907934,103
10.0,247.85,3.967304992955559,104
1.0,91.21,3.1436760194892632,105
9.0,179.35,3.6071250601003415,106
2.0,121.72,3.304100687393098,107
3.0,100.0,3.1898947291213418,108
8.0,1349.05,9.757526044928778,109
2.0,207.57,3.755508676234272,110
8.0,102.03,3.200568674576759,111
3.0,138.74,3.393593569979898,112
2.0,336.99,4.4360121347762025,113
1.0,34.77,2.8469087872214023,114
1.0,85.79,3.11517711093342,115
7.0,173.85,3.578205503447733,116
1.0,55.46,2.955698901247307,117
6.0,76.08,3.0641209481885414,118
8.0,224.68,3.845474787929933,119
1.0,31.22,2.8282425279274457,120
2.0,71.04,3.037620118092333,121
1.0,75.17,3.0593360760878374,122
2.0,62.82,2.994398526149707,123
4.0,43.0,2.890182960176124,124
3.0,369.0,4.604323954494385,125
7.0,98.97,3.1844788848754892,126
3.0,102.69,3.204039021375072,127
1.0,148.14,3.443019721349811,128
3.0,189.37,3.659811234220185,129
3.0,266.5,4.06536858051395,130
10.0,156.27,3.4857680841835763,131
5.0,91.88,3.147198947299672,132
1.0,4.77,2.6891657509344458,133
1.0,54.78,2.9521233924248023,134
9.0,91.07,3.142939885319924,135
1.0,72.38,3.0446659737131503,136
4.0,129.0,3.3423796641987327,137
5.0,214.13,3.79000182016902,138
1.0,486.69,5.223149885848116,139
10.0,913.63,7.46804361625989,140
1.0,157.84,3.494023303082594,141
4.0,158.92,3.499702052388924,142
8.0,109.5,3.239846690612211,143
1.0,39.84,2.8735673603538983,144
5.0,92.57,3.150827037134272,145
1.0,86.05,3.1165442172479065,146
1.0,28.23,2.8125208053108457,147
6.0,87.64,3.124904598171115,148
8.0,501.61,5.301600755894828,149
4.0,110.0,3.242475741216994,150
10.0,312.59,4.307714465262811,151
1.0,93.66,3.156558367452698,152
5.0,80.1,3.0852585150509935,153
7.0,149.07,3.447909755474707,154
1.0,56.6,2.961693136626211,155
1.0,64.03,3.0007608286132808,156
1.0,128.54,3.3399609376423327,157
10.0,140.82,3.4045304204957936,158
8.0,145.88,3.4311364126161936,159
3.0,43.78,2.894284279119585,160
5.0,101.14,3.195888964500246,161
5.0,107.59,3.2298037173019414,162
1.0,78.91,3.079001374611611,163
2.0,165.03,3.5318290507793675,164
4.0,86.1,3.116807122308385,165
3.0,78.51,3.0768981341277852,166
1.0,169.74,3.5565947074764197,167
4.0,148.13,3.4429671403377156,168
6.0,197.29,3.7014553957999414,169
1.0,85.16,3.1118645071713935,170
10.0,220.79,3.825020774224724,171
10.0,777.24,6.750891192287289,172
3.0,100.54,3.192734103774507,173
2.0,190.37,3.6650693354297506,174
4.0,318.17,4.3370546700121855,175
5.0,412.4,4.832525546989515,176
3.0,35.0,2.8481181504996025,177
3.0,107.78,3.2308027565317587,178
1.0,9.83,2.715771743054846,179
1.0,7.91,2.7056761887324807,180
1.0,35.77,2.8521668884309674,181
1.0,47.38,2.91321344347402,182
1.0,90.73,3.141152130908672,183
6.0,69.65,3.030311357411037,184
1.0,46.48,2.908481152385411,185
1.0,69.64,3.0302587763989415,186
4.0,56.29,2.9600631252512457,187
1.0,43.1,2.8907087702970804,188
3.0,40.18,2.87535511476515,189
