product_category_name_english,nbCommandes,prixMoyen,fraisMoyen
bed_bath_table,11115,93.29632748538005,18.41592802519108
health_beauty,9670,130.16353050672333,18.87970320579105
sports_leisure,8641,114.34428538363589,19.512499710681574
furniture_decor,8334,87.56449364050691,20.728257739380744
computers_accessories,7827,116.51390315574177,18.821781014437146
housewares,6964,90.78814761631097,20.98637421022396
watches_gifts,5991,201.1359839759655,16.781160073443463
telephony,4545,71.21397799780064,15.669040704070294
garden_tools,4347,111.63019553715021,22.76575799401868
auto,4235,139.95752302243034,21.880569067296292
toys,4117,117.548360456642,18.80640029147436
cool_stuff,3796,167.3579689146461,22.13885669125394
perfumery,3419,116.73731207955467,15.856636443404561
baby,3065,134.3441729200645,22.301177814029348
electronics,2767,57.91353089989208,16.83350921575716
stationery,2517,91.75336909018681,18.59295987286452
fashion_bags_accessories,2031,75.24546528803586,15.484982767109841
pet_shop,1947,110.07468412942987,20.319075500770424
office_furniture,1691,162.01105854524016,40.551123595505636
