product_category_name_english,noteMoyenneCategorieProduit
art,3.9186602870813396
flowers,4.212121212121212
home_construction,3.9289256198347107
fashion_male_clothing,3.621212121212121
kitchen_dining_laundry_garden_furniture,3.950354609929078
small_appliances,4.124450951683748
la_cuisine,3.7857142857142856
bed_bath_table,3.871185237757275
signaling_and_security,4.0703517587939695
office_furniture,3.484420928865373
computers,4.142857142857143
watches_gifts,4.001999666722213
auto,4.039708646616542
fashion_bags_accessories,4.129756097560976
construction_tools_lights,3.9770491803278687
cool_stuff,4.131371518654755
cds_dvds_musicals,4.642857142857143
food,4.145098039215687
computers_accessories,3.9205826472450918
perfumery,4.156331877729258
pet_shop,4.176500769625449
stationery,4.1813861386138615
furniture_decor,3.8873574144486693
drinks,4.0
construction_tools_safety,3.829896907216495
telephony,3.9356043956043956
home_confort,3.8260869565217392
furniture_mattress_and_upholstery,3.8157894736842106
party_supplies,3.7674418604651163
agro_industry_and_commerce,4.0
cine_photo,4.205479452054795
books_technical,4.338289962825279
home_appliances_2,4.132780082987552
music,4.2105263157894735
costruction_tools_garden,4.054166666666666
christmas_supplies,3.9084967320261437
audio,3.808219178082192
fashio_female_clothing,3.78
air_conditioning,3.919191919191919
market_place,4.0
health_beauty,4.124280427631579
fashion_shoes,4.2
fashion_underwear_beach,3.954198473282443
housewares,4.039919874087852
home_appliances,4.160692212608158
costruction_tools_tools,4.359223300970874
furniture_living_room,3.88560157790927
arts_and_craftmanship,4.125
fixed_telephony,3.671698113207547
electronics,4.024196460816179
diapers_and_hygiene,3.2564102564102564
books_imported,4.4
baby,3.995769606247966
home_comfort_2,3.3666666666666667
fashion_childrens_clothes,4.5
luggage_accessories,4.309523809523809
small_appliances_home_oven_and_coffee,4.302631578947368
food_drink,4.303571428571429
furniture_bedroom,4.118181818181818
tablets_printing_image,4.048192771084337
fashion_sport,4.258064516129032
toys,4.1386666666666665
consoles_games,4.0
garden_tools,4.0293510662692045
sports_leisure,4.093322606596943
industry_commerce_and_business,4.070631970260223
security_and_services,2.5
books_general_interest,4.439421338155515
construction_tools_construction,4.041890440386681
dvds_blu_ray,4.03125
musical_instruments,4.136563876651983
