product_category_name_english,nbCommandes,prixMoyen,fraisMoyen,noteMoyenneCategorieProduit
bed_bath_table,11115,93.29632748538005,18.41592802519108,3.871185237757275
health_beauty,9670,130.16353050672333,18.87970320579105,4.124280427631579
sports_leisure,8641,114.34428538363589,19.512499710681574,4.093322606596943
furniture_decor,8334,87.56449364050691,20.728257739380744,3.8873574144486693
computers_accessories,7827,116.51390315574177,18.821781014437146,3.9205826472450918
housewares,6964,90.78814761631097,20.98637421022396,4.039919874087852
watches_gifts,5991,201.1359839759655,16.781160073443463,4.001999666722213
telephony,4545,71.21397799780064,15.669040704070294,3.9356043956043956
garden_tools,4347,111.63019553715021,22.76575799401868,4.0293510662692045
auto,4235,139.95752302243034,21.880569067296292,4.039708646616542
toys,4117,117.548360456642,18.80640029147436,4.1386666666666665
cool_stuff,3796,167.3579689146461,22.13885669125394,4.131371518654755
perfumery,3419,116.73731207955467,15.856636443404561,4.156331877729258
baby,3065,134.3441729200645,22.301177814029348,3.995769606247966
electronics,2767,57.91353089989208,16.83350921575716,4.024196460816179
stationery,2517,91.75336909018681,18.59295987286452,4.1813861386138615
fashion_bags_accessories,2031,75.24546528803586,15.484982767109841,4.129756097560976
pet_shop,1947,110.07468412942987,20.319075500770424,4.176500769625449
office_furniture,1691,162.01105854524016,40.551123595505636,3.484420928865373
