numCluster,centreNbCommande,centrePrixMoyen,centreFraisMoyen,centreNbVendeurs,nombreProduitsCluster
12,4235.0,139.95752302243034,21.880569067296285,383.0,1
1,5683.666666666667,100.59566955170718,17.621841447153386,181.33333333333334,3
13,118.18181818181819,92.90938093725481,18.03922708819552,14.000000000000002,11
6,41.4,75.18494594334588,15.787718218908992,4.6,10
3,8334.0,87.5644936405069,20.728257739380744,370.0,1
5,2900.333333333333,185.71997253326313,18.620010303748497,101.66666666666667,3
9,106.5,505.3314871700565,42.503774368894405,12.999999999999998,4
4,3842.999999999999,121.17424297128558,21.291112033174137,244.33333333333331,3
8,388.25,185.7213280262119,28.975840311834588,50.374999999999986,8
7,2547.0,98.73423770780329,18.762567280876056,140.75,4
10,5811.5,141.93593603519392,20.480318852845546,277.0,2
11,722.3333333333333,139.19217841177465,21.23837760807082,68.33333333333333,6
2,8425.0,111.76532116889005,19.792859042232195,480.33333333333326,3
0,375.5833333333333,141.5913469677855,22.26334946354016,32.833333333333336,12
