geolocation_city,latitude,longitude
alcantil,-7.743232162444185,-36.0629876303929
alcinopolis,-18.325890936562413,-53.710012705921415
alcinópolis,-18.325392286030805,-53.712134200949876
alcobaca,-17.50293623343519,-39.270537988509126
alcobaça,-17.482928013888323,-39.3038088878954
alcântara,-2.3981287925329924,-44.438740786715606
alcântaras,-3.5876704639941877,-40.54564962879273
aldeia,-19.008238421936294,-41.11203382038614
aldeias altas,-4.62596764081347,-43.46730549774115
alecrim,-27.658214236288945,-54.76690473649302
alegre,-20.760206303395872,-41.53516276114849
alegrete,-29.789572584973904,-55.79128645489497
alegrete do piaui,-7.241927090093526,-40.84388228862271
alegrete do piauí,-7.241054564234952,-40.8563053064458
alegria,-25.38216744846198,-50.314823866095935
alem paraiba,-21.872452912165336,-42.693540638079725
alenquer,-1.9460951778154754,-54.73822449983298
alexandra,-25.5534229350904,-48.62752422974045
alexandria,-6.4133556570692125,-38.01396726012292
alexandrita,-19.70290819846817,-50.41424707469224
alexania,-16.082989120550724,-48.50856735927954
alexânia,-16.08639914589078,-48.50294429605729
alfenas,-21.423970169543438,-45.951363503161254
alfredo chaves,-20.627031870241968,-40.749310569372355
alfredo guedes,-22.59326209208953,-48.793596238946726
alfredo marcondes,-21.954288886597624,-51.416154391591796
alfredo vasconcelos,-21.149443547778592,-43.767193356103036
alfredo wagner,-27.70013863320932,-49.33157442341496
algodão de jandaíra,-6.9040744281326205,-36.01124478544995
algodões,-10.674079142611236,-39.05057508062291
alhandra,-7.433968779567003,-34.91044769864678
alianca,-7.59464009039324,-35.22248909430234
alianca do tocantins,-11.30477820332223,-48.9371764135414
aliança,-7.6065236797352815,-35.230632629378015
aliança do tocantins,-11.30718067563804,-48.937515427053356
almadina,-14.704574197522877,-39.637593600437214
almas,-11.567892561876574,-47.1683104339993
almeirim,-1.5275035267552195,-52.57714994793208
almenara,-16.176287602159032,-40.69302960684198
almino afonso,-6.155247530745038,-37.76818300221504
almirante tamandare,-25.333449013270272,-49.28401729149064
almirante tamandare do sul,-28.116015587988,-52.914714553089986
almirante tamandaré,-25.331719159896537,-49.28835123538913
almirante tamandaré do sul,-28.111052791742267,-52.91734552535572
aloandia,-17.730768613653673,-49.476715112055636
aloândia,-17.724938627006498,-49.48113596867425
alpercata,-18.97882641545508,-41.979683055880244
alpestre,-27.25035234287266,-53.03555485473069
alpinopolis,-20.85823704007911,-46.38672391868265
alpinópolis,-20.861700631340742,-46.3881005312071
alta alegre dos parecis,-12.131338609068512,-61.85347578961117
alta floresta,-9.902096283770888,-56.14798246464175
alta floresta d'oeste,-11.947014804296675,-61.99946134183562
alta floresta do oeste,-11.927292447340866,-61.993178631031334
alta floresta doeste,-11.936514767963192,-62.00345070550289
altair,-20.525024597395166,-49.06086757416893
altamira,-3.2066377414917957,-52.21607476388612
altamira do maranhao,-4.169239641524318,-45.48681350594832
altamira do parana,-24.79917358055336,-52.715429195588364
altamira do paraná,-24.80004256455994,-52.71550754024809
altaneira,-6.999919634947143,-39.7392994531862
alterosa,-21.2558336455043,-46.14487857042155
altinho,-8.488189811112091,-36.06023398040497
altinopolis,-21.020873569557786,-47.377170499566446
altinópolis,-21.022586478038754,-47.37841678587678
alto alegre,-18.92291329284763,-52.82776923062429
alto alegre do iguacu,-22.896711706478502,-51.890841433961405
alto alegre do maranhao,-4.214134911794691,-44.44951278413494
alto alegre do pindare,-3.7329394695563454,-45.867072298336375
alto alegre do pindaré,-3.671094031611729,-45.845548140126475
alto alegre dos parecis,-12.135037339165095,-61.85829592723606
alto araguaia,-17.31726008132974,-53.223327746417894
alto bela vista,-27.431744031945783,-51.906781127304434
alto boa vista,-11.679428518842505,-51.37675429719135
alto calcado,-20.946109999999976,-41.61999999999995
alto caparao,-20.44423852885907,-41.87048771838964
alto caparaó,-20.44164809081363,-41.86819741955752
alto do rodrigues,-5.29488246695531,-36.75812276543538
alto feliz,-29.395218045466553,-51.309959126537244
alto garcas,-16.946187011167666,-53.53123705275049
alto garças,-16.945731367928254,-53.53012239512448
alto horizonte,-14.194380211559098,-49.34015563206795
alto jequitiba,-20.426521477998413,-41.96425062201729
alto jequitibá,-20.426429502620714,-41.96403742351163
alto longa,-5.252364654310874,-42.20801055021926
alto maranhao,-20.562229075264067,-43.856807486033915
alto mutum preto,-19.274999999999977,-40.90749999999997
alto paraguai,-14.513116110118148,-56.487034573030726
alto paraiso,-14.027472742996526,-60.32705394674408
alto paraiso de goias,-14.139492062754918,-47.516851679960176
alto parana,-23.130730094832906,-52.321864300392704
alto paraná,-23.127808402796493,-52.309908679504616
alto paraíso,-14.314919296417473,-60.122041729039346
alto paraíso de goiás,-14.138701191474786,-47.517061823243935
alto parnaiba,-9.12552587116556,-45.947181513960324
alto parnaíba,-9.11113812965101,-45.93251912207106
alto piquiri,-24.03226762264084,-53.43985746757153
alto rio doce,-21.02315919884419,-43.41263491879728
alto rio novo,-19.05822235499108,-41.01879814974317
alto santo,-5.519712483344855,-38.26737385532683
alto taquari,-17.831339487997216,-53.28242914765828
altonia,-23.872348860666264,-53.893500973158545
altos,-5.037933605097156,-42.45957464672137
altônia,-23.87124983203738,-53.89421948191454
aluminio,-23.524098716525263,-47.256676322001155
alumínio,-23.52123662207714,-47.255904987131935
alvacao,-16.408132897676698,-44.21771746392958
alvaraes,-3.2110188563874753,-64.80427013726734
alvarenga,-19.417557882438125,-41.72756415518321
alvares florence,-20.32086634900235,-49.909107783225615
alvares machado,-22.076304146049957,-51.46671946199017
alvaro de carvalho,-22.083206931312755,-49.7176412466633
alvinlandia,-22.441974732310864,-49.76450313583045
alvinlândia,-22.442313053006316,-49.76294021458492
alvinopolis,-20.11150606065765,-43.066597730401426
alvinópolis,-20.098402153790886,-43.04737640845585
alvorada,-29.307385485385904,-50.974530658905394
alvorada d'oeste,-11.35023142656732,-62.28751193399715
alvorada de minas,-18.73744917819915,-43.37349462270952
alvorada do gurgueia,-8.451118499999952,-43.92315624999995
alvorada do gurguéia,-8.455556999999946,-43.978332499999965
alvorada do norte,-14.48533914978525,-46.50622379776432
alvorada do oeste,-11.33501778449655,-62.276737115089645
alvorada do sul,-22.77924534758796,-51.229786835378604
além paraíba,-21.873710577518857,-42.69373494440711
amambai,-23.090817384851363,-55.22809370379079
