Ville,nbCommandes,prixMoyenProduits,fraisMoyen,noteMoyenneVille,Etat,nbVendeurs,latitudeVille,longitudeVille
santo andre,797,116.12042875157657,15.936973518284997,4.2671660424469415,São Paulo,45,-23.655240519546762,-46.519084194684474
osasco,746,110.7248787061997,15.960727762803236,4.159786950732357,São Paulo,32,-23.536560947809892,-46.78828362886693
santos,713,139.91089235127504,18.262209631728037,4.173669467787115,São Paulo,16,-23.96252319074526,-46.32780350647331
goiania,692,154.4558515283845,26.1271615720524,3.9283667621776504,Goiás,23,-16.68458663973802,-49.27448045931699
sao jose dos campos,691,114.65151603498563,16.525320699708455,4.223665223665224,São Paulo,18,-23.21087970704398,-45.885186496536896
fortaleza,654,150.5662461538464,31.966169230769246,3.802752293577982,Ceará,7,-3.763107946625512,-38.53242972497402
sorocaba,633,122.6791025641028,16.982499999999995,4.238244514106583,São Paulo,32,-23.485346151382082,-47.46445000569193
recife,613,146.73694444444473,33.04004901960784,3.9098228663446055,Pernambuco,5,-8.068138874398839,-34.91363210482967
florianopolis,570,152.0813982300887,24.77766371681415,3.9790940766550524,São Paulo,1,-27.57683563925412,-48.517951844329865
florianopolis,570,152.0813982300887,24.77766371681415,3.9790940766550524,Santa Catarina,17,-27.57683563925412,-48.517951844329865
jundiai,565,145.1969642857145,18.029410714285714,4.134275618374558,São Paulo,14,-23.185675744261623,-46.90259409644331
ribeirao preto,510,129.2067125984252,19.23482283464566,4.209708737864077,São Paulo,52,-21.180750634407623,-47.804281096227534
belem,447,181.97186516853955,35.245258426966295,3.838137472283814,"","",-1.4525359085023029,-48.391745628873096
nova iguacu,442,137.2074943052392,24.122232346241454,3.7828054298642533,Rio de Janeiro,5,-22.74284877626707,-43.472319863519814
barueri,433,119.64650349650346,16.930745920745924,4.142857142857143,São Paulo,13,-23.505912650749714,-46.86935863185788
juiz de fora,427,152.91260563380285,24.54061032863848,4.1782407407407405,São Paulo,1,-21.7541042028893,-43.36263708878037
juiz de fora,427,152.91260563380285,24.54061032863848,4.1782407407407405,Minas Gerais,9,-21.7541042028893,-43.36263708878037
contagem,426,117.12108747044907,20.925815602836877,3.9509345794392523,Minas Gerais,12,-19.9190393518736,-44.057885087693045
sao goncalo,409,129.3468965517241,22.395788177339888,3.6092233009708736,Rio de Janeiro,7,-22.82802998050913,-43.02753213709035
mogi das cruzes,383,137.22369393139834,17.27408970976253,4.140625,São Paulo,15,-23.530401558443916,-46.193887959028466
vitoria,380,140.71370370370363,25.218624338624338,4.0078740157480315,Espírito Santo,4,-20.297897132646114,-40.318210475392675
uberlandia,374,130.51604838709673,22.134731182795697,4.263297872340425,Minas Gerais,12,-18.918531827023873,-48.27499733339019
piracicaba,369,142.91797814207638,18.122923497267763,4.159891598915989,São Paulo,12,-22.725841079430904,-47.646621915541544
sao luis,353,146.6290517241379,35.58873563218391,3.672316384180791,Maranhão,1,-2.530584706979767,-44.25421387400731
sao jose do rio preto,335,141.35300300300293,20.064774774774772,4.2119402985074625,São Paulo,33,-20.809641072093598,-49.37964503407102
vila velha,334,145.00054054054047,23.7160960960961,3.844311377245509,São Paulo,1,-20.359658032831952,-40.31021694025278
